Date,Cash,CELG,CRM,ATTO,DFJ,EFA,SWPPX,OPGIX,TCEHY,BLCM,FOSL,IVV,MSI,NEE,WB,SNAP
10/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/24/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/25/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/29/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/30/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
10/31/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/1/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/2/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/5/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/6/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/7/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/8/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/9/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/12/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/13/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/14/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/15/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/16/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/19/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/20/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/21/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/22/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/23/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/26/2018,133327.86,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,0,0,0,0
11/27/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
11/28/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
11/29/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
11/30/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/3/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/4/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/5/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/6/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/7/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/10/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/11/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/12/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/13/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/14/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/17/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/18/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/19/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/20/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/21/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/24/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/25/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/26/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/27/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/28/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
12/31/2018,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/1/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/2/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/3/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/4/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/7/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/8/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/9/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
1/10/2019,37790.29,335,195,1030,0,2900,12921.83,1379.5,1008,0,0,0,384,280,0,0
